,wheel-base,length,width,curb-weight,num-of-cylinders,engine-size,bore,horsepower,city-mpg,highway-mpg,price,price-range,convertible,hardtop,hatchback,sedan,wagon,4wd,fwd,rwd
0,-1.6809100660380731,-0.4383150689245268,-0.8513345559782859,-0.014820636344078236,-0.3428038246190091,0.07520135170068498,0.5196498132072913,0.22240058567926305,-0.6506244800016466,-0.5409370591313337,0.03622351121532495,<20k,1,0,0,0,0,0,0,1
1,-1.6809100660380731,-0.4383150689245268,-0.8513345559782859,-0.014820636344078236,-0.3428038246190091,0.07520135170068498,0.5196498132072913,0.22240058567926305,-0.6506244800016466,-0.5409370591313337,0.4143504665852117,<20k,1,0,0,0,0,0,0,1
2,-0.7083343208611907,-0.2435442608467981,-0.18513448909204067,0.5167891455630864,1.5449651821870396,0.6047242453637887,-2.4273213953350807,1.334146254867159,-0.9619947668595775,-0.6876689739564323,0.4143504665852117,<20k,0,0,1,0,0,0,0,1
3,0.16533541633160045,0.19469005732809616,0.14796554435108197,-0.4227103235528482,-0.3428038246190091,-0.4302523195231867,-0.5248463113393732,-0.010290368336808199,-0.18356904971475024,-0.10074131465603804,0.09347734306001662,<20k,0,0,0,1,0,0,1,0
4,0.09939807767554211,0.19469005732809616,0.24313698247768942,0.5187222720427488,0.6010806787840153,0.2196166863360769,-0.5248463113393732,0.3258187874641836,-1.117679910288543,-1.2745966332568266,0.5338914341730295,<20k,0,0,0,1,0,1,0,0
5,0.16533541633160045,0.2514982096841023,0.1955512634143823,-0.09407882201023733,0.6010806787840153,0.2196166863360769,-0.5248463113393732,0.1965460352330329,-0.9619947668595775,-0.8344008887815308,0.25705971975913566,<20k,0,0,0,1,0,0,1,0
6,1.1543954961724967,1.501277561516205,2.6224229356428417,0.5573848016359971,0.6010806787840153,0.2196166863360769,-0.5248463113393732,0.1965460352330329,-0.9619947668595775,-0.8344008887815308,0.5666079095128533,<20k,0,0,0,1,0,0,1,0
7,1.1543954961724967,1.501277561516205,2.6224229356428417,0.770028714398863,0.6010806787840153,0.2196166863360769,-0.5248463113393732,0.1965460352330329,-0.9619947668595775,-0.8344008887815308,0.7188653524404949,<20k,0,0,0,0,1,0,1,0
8,1.1543954961724967,1.501277561516205,2.6224229356428417,1.025201409714302,0.6010806787840153,0.09927057413991697,-0.7486669094565156,0.972182548619937,-1.2733650537175085,-1.5680604629070236,1.3423658728590602,>=20k,0,0,0,1,0,0,1,0
9,0.3961161016278105,0.21092095800124178,-0.5182345225351633,-0.310588987732428,-0.3428038246190091,-0.4543215419624187,0.6315601122658616,-0.036144918783038334,-0.3392541931437157,-0.24747322948113662,0.40554218476295145,<20k,0,0,0,1,0,0,0,1
